local,codigo,populacao_ativa
Castro Verde,1840206,0
Cuba,1840207,0
Ferreira do Alentejo,1840208,0
Mértola,1840209,0
Moura,1840210,0
Ourique,1840212,0
Serpa,1840213,0
Vidigueira,1840214,0
Almeirim,1851403,0
Alpiarça,1851404,0
Azambuja,1851103,0
Benavente,1851405,0
Cartaxo,1851406,0
Chamusca,1851407,0
Coruche,1851409,0
Golegã,1851412,0
Rio Maior,1851414,0
Salvaterra de Magos,1851415,0
Santarém,1851416,1
Alter do Chão,1861201,0
Arronches,1861202,0
Avis,1861203,0
Campo Maior,1861204,0
Castelo de Vide,1861205,0
Crato,1861206,0
Elvas,1861207,0
Fronteira,1861208,0
Gavião,1861209,0
Marvão,1861210,0
Monforte,1861211,0
Nisa,1861212,0
Ponte de Sor,1861213,0
Portalegre,1861214,0
Sousel,1861215,0
Alandroal,1870701,0
Arraiolos,1870702,0
Borba,1870703,0
Estremoz,1870704,0
Évora,1870705,1
Montemor-o-Novo,1870706,0
Mora,1870707,0
Mourão,1870708,0
Portel,1870709,0
Redondo,1870710,0
Reguengos de Monsaraz,1870711,0
Vendas Novas,1870712,0
Viana do Alentejo,1870713,0
Vila Viçosa,1870714,0
Albufeira,1500801,0
Alcoutim,1500802,0
Aljezur,1500803,0
Castro Marim,1500804,0
Faro,1500805,1
Lagoa,2004201,0
Lagos,1500807,0
Loulé,1500808,1
Monchique,1500809,0
Olhão,1500810,0
Portimão,1500811,1
São Brás de Alportel,1500812,0
Silves,1500813,0
Tavira,1500814,0
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,0
Angra do Heroísmo,2004301,0
Calheta,3003101,0
Corvo,2004901,0
Horta,2004701,0
Lajes das Flores,2004801,0
Lajes do Pico,2004601,0
Madalena,2004602,0
Nordeste,2004202,0
Ponta Delgada,2004203,1
Povoação,2004204,0
Ribeira Grande,2004205,0
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,0
São Roque do Pico,2004603,0
Velas,2004502,0
Vila da Praia da Vitória,2004302,0
Vila do Porto,2004101,0
Vila Franca do Campo,2004206,0
Câmara de Lobos,3003102,0
Funchal,3003103,1
Machico,3003104,0
Ponta do Sol,3003105,0
Porto Moniz,3003106,0
Porto Santo,3003201,0
Ribeira Brava,3003107,0
Santa Cruz,3003108,0
Santana,3003109,0
São Vicente,3003110,0
