local,codigo,retencao_desistencia_ensino_basico
Arraiolos,1830702,1
Borba,1830703,1
Estremoz,1830704,1
Évora,1830705,0
Montemor-o-Novo,1830706,1
Mourão,1830708,2
Portel,1830709,0
Redondo,1830710,0
Reguengos de Monsaraz,1830711,1
Sousel,1831215,1
Vendas Novas,1830712,0
Viana do Alentejo,1830713,0
Vila Viçosa,1830714,0
Aljustrel,1840201,1
Almodôvar,1840202,0
Alvito,1840203,0
Barrancos,1840204,1
Beja,1840205,1
Castro Verde,1840206,0
Cuba,1840207,1
Ferreira do Alentejo,1840208,1
Mértola,1840209,0
Moura,1840210,1
Ourique,1840212,1
Serpa,1840213,1
Vidigueira,1840214,1
Almeirim,1851403,0
Alpiarça,1851404,0
Azambuja,1851103,0
Benavente,1851405,1
Cartaxo,1851406,1
Chamusca,1851407,0
Coruche,1851409,1
Golegã,1851412,1
Rio Maior,1851414,1
Salvaterra de Magos,1851415,0
Santarém,1851416,1
Albufeira,1500801,1
Alcoutim,1500802,0
Aljezur,1500803,1
Castro Marim,1500804,0
Faro,1500805,1
Lagoa,1500806,0
Lagos,1500807,0
Loulé,1500808,1
Monchique,1500809,1
Olhão,1500810,0
Portimão,1500811,1
São Brás de Alportel,1500812,0
Silves,1500813,1
Tavira,1500814,1
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,1
Angra do Heroísmo,2004301,1
Calheta (R.A.A.),2004501,0
Corvo,2004901,0
Horta,2004701,1
Lagoa (R.A.A),2004201,1
Lajes das Flores,2004801,0
Lajes do Pico,2004601,0
Madalena,2004602,1
Nordeste,2004202,0
Ponta Delgada,2004203,1
Povoação,2004204,1
Ribeira Grande,2004205,1
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,0
São Roque do Pico,2004603,0
Velas,2004502,1
Vila da Praia da Vitória,2004302,1
Vila do Porto,2004101,1
Vila Franca do Campo,2004206,1
Calheta (R.A.M.),3003101,0
Câmara de Lobos,3003102,0
Funchal,3003103,0
Machico,3003104,0
Ponta do Sol,3003105,0
Porto Moniz,3003106,0
Porto Santo,3003201,0
Ribeira Brava,3003107,1
Santa Cruz,3003108,0
Santana,3003109,1
São Vicente,3003110,0
