local,codigo,votos_por_partido_ou_coligacao
Marinha Grande,1931010,0
Pedrógão Grande,1931013,1
Pombal,1931015,2
Porto de Mós,1931016,1
Aguiar da Beira,1940901,1
Carregal do Sal,1941802,1
Castro Daire,1941803,2
Mangualde,1941806,1
Nelas,1941809,1
Oliveira de Frades,1941810,0
Penalva do Castelo,1941811,2
Santa Comba Dão,1941814,1
São Pedro do Sul,1941816,2
Sátão,1941817,1
Tondela,1941821,0
Vila Nova de Paiva,1941822,0
Viseu,1941823,1
Vouzela,1941824,2
Castelo Branco,1950502,0
Idanha-a-Nova,1950505,1
Oleiros,1950506,1
Penamacor,1950507,2
Proença-a-Nova,1950508,2
Sertã,1950509,1
Vila de Rei,1950510,2
Vila Velha de Ródão,1950511,2
Almeida,1960902,1
Belmonte,1960501,0
Celorico da Beira,1960903,1
Covilhã,1960503,1
Figueira de Castelo Rodrigo,1960904,1
Fornos de Algodres,1960905,2
Fundão,1960504,2
Gouveia,1960906,1
Guarda,1960907,0
Manteigas,1960908,0
Mêda,1960909,1
Pinhel,1960910,2
Sabugal,1960911,1
Seia,1960912,0
Trancoso,1960913,2
Alcobaça,1D11001,0
Alenquer,1D11101,0
Arruda dos Vinhos,1D11102,2
Bombarral,1D11005,0
Cadaval,1D11104,1
Caldas da Rainha,1D11006,0
Lourinhã,1D11108,0
Nazaré,1D11011,0
Óbidos,1D11012,0
Peniche,1D11014,0
Sobral de Monte Agraço,1D11112,0
Torres Vedras,1D11113,0
Abrantes,1D21401,1
Alcanena,1D21402,1
Constância,1D21408,2
Entroncamento,1D21410,0
Ferreira do Zêzere,1D21411,2
Mação,1D21413,2
Ourém,1D21421,2
Sardoal,1D21417,0
Tomar,1D21418,0
Torres Novas,1D21419,0
Vila Nova da Barquinha,1D21420,1
Almeirim,1D31403,2
Alpiarça,1D31404,0
Azambuja,1D31103,0
Benavente,1D31405,0
Cartaxo,1D31406,1
Chamusca,1D31407,0
Coruche,1D31409,1
Golegã,1D31412,1
Rio Maior,1D31414,2
Salvaterra de Magos,1D31415,1
Santarém,1D31416,0
Amadora,1A01115,0
Cascais,1A01105,1
Lisboa,1A01106,0
Loures,1A01107,0
Mafra,1A01109,2
Odivelas,1A01116,0
Oeiras,1A01110,1
Sintra,1A01111,0
Vila Franca de Xira,1A01114,0
Alcochete,1B01502,1
Almada,1B01503,0
Barreiro,1B01504,2
Moita,1B01506,0
Montijo,1B01507,0
Palmela,1B01508,0
Seixal,1B01510,0
Sesimbra,1B01511,0
Setúbal,1B01512,0
Alcácer do Sal,1C11501,1
Grândola,1C11505,0
Odemira,1C10211,1
Santiago do Cacém,1C11509,0
Sines,1C11513,1
Aljustrel,1C20201,1
Almodôvar,1C20202,2
Alvito,1C20203,1
Barrancos,1C20204,1
Beja,1C20205,0
Castro Verde,1C20206,2
Cuba,1C20207,1
Ferreira do Alentejo,1C20208,1
Mértola,1C20209,2
Moura,1C20210,0
Ourique,1C20212,1
Serpa,1C20213,0
Vidigueira,1C20214,1
Alter do Chão,1C31201,0
Arronches,1C31202,1
Avis,1C31203,1
Campo Maior,1C31204,1
Castelo de Vide,1C31205,1
Crato,1C31206,0
Elvas,1C31207,0
Fronteira,1C31208,2
Gavião,1C31209,1
Marvão,1C31210,1
Monforte,1C31211,2
Nisa,1C31212,1
Ponte de Sor,1C31213,2
Portalegre,1C31214,0
Sousel,1C31215,2
Alandroal,1C40701,2
Arraiolos,1C40702,2
Borba,1C40703,0
Estremoz,1C40704,0
Évora,1C40705,0
Montemor-o-Novo,1C40706,0
Mora,1C40707,1
Mourão,1C40708,1
Portel,1C40709,2
Redondo,1C40710,0
Reguengos de Monsaraz,1C40711,1
Vendas Novas,1C40712,0
Viana do Alentejo,1C40713,0
Vila Viçosa,1C40714,1
Albufeira,1500801,0
Alcoutim,1500802,1
Aljezur,1500803,0
Castro Marim,1500804,1
Faro,1500805,1
Lagoa,1500806,1
Lagos,1500807,1
Loulé,1500808,1
Monchique,1500809,1
Olhão,1500810,1
Portimão,1500811,0
São Brás de Alportel,1500812,2
Silves,1500813,0
Tavira,1500814,0
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,0
Angra do Heroísmo,2004301,1
Calheta (R.A.A.),2004501,1
Corvo,2004901,2
Horta,2004701,1
Lagoa (R.A.A.),2004201,2
Lajes das Flores,2004801,1
Lajes do Pico,2004601,1
Madalena,2004602,2
Nordeste,2004202,2
Ponta Delgada,2004203,1
Povoação,2004204,2
Ribeira Grande,2004205,2
Santa Cruz da Graciosa,2004401,2
Santa Cruz das Flores,2004802,2
São Roque do Pico,2004603,2
Velas,2004502,2
Vila da Praia da Vitória,2004302,0
Vila do Porto,2004101,2
Vila Franca do Campo,2004206,1
Calheta (R.A.M.),3003101,2
Câmara de Lobos,3003102,2
Funchal,3003103,1
Machico,3003104,1
Ponta do Sol,3003105,1
Porto Moniz,3003106,1
Ribeira Brava,3003107,2
Santa Cruz,3003108,1
Santana,3003109,2
São Vicente,3003110,2
Porto Santo,3003201,1
