local,codigo,Novos contratos de arrendamento de alojamentos familiares (N.º) por Localização geográfica (NUTS - 2024); Anual
Figueira da Foz,1920605,706.0
Góis,1920606,0.0
Lousã,1920607,161.0
Mealhada,1920111,164.0
Mira,1920608,89.0
Miranda do Corvo,1920609,80.0
Montemor-o-Velho,1920610,102.0
Mortágua,1921808,69.0
Oliveira do Hospital,1920611,140.0
Pampilhosa da Serra,1920612,0.0
Penacova,1920613,38.0
Penela,1920614,0.0
Soure,1920615,73.0
Tábua,1920616,67.0
Vila Nova de Poiares,1920617,49.0
Região de Leiria,193,3157.0
Alvaiázere,1931002,0.0
Ansião,1931003,63.0
Batalha,1931004,117.0
Castanheira de Pêra,1931007,0.0
Figueiró dos Vinhos,1931008,0.0
Leiria,1931009,1856.0
Marinha Grande,1931010,431.0
Pedrógão Grande,1931013,0.0
Pombal,1931015,407.0
Porto de Mós,1931016,198.0
Viseu Dão Lafões,194,2380.0
Aguiar da Beira,1940901,0.0
Carregal do Sal,1941802,53.0
Castro Daire,1941803,57.0
Mangualde,1941806,131.0
Nelas,1941809,97.0
Oliveira de Frades,1941810,69.0
Penalva do Castelo,1941811,0.0
Santa Comba Dão,1941814,68.0
São Pedro do Sul,1941816,145.0
Sátão,1941817,59.0
Tondela,1941821,208.0
Vila Nova de Paiva,1941822,0.0
Viseu,1941823,1391.0
Vouzela,1941824,34.0
Beira Baixa,195,901.0
Castelo Branco,1950502,656.0
Idanha-a-Nova,1950505,0.0
Oleiros,1950506,0.0
Penamacor,1950507,0.0
Proença-a-Nova,1950508,38.0
Sertã,1950509,112.0
Vila de Rei,1950510,0.0
Vila Velha de Ródão,1950511,0.0
Beiras e Serra da Estrela,196,1794.0
Almeida,1960902,0.0
Belmonte,1960501,55.0
Celorico da Beira,1960903,0.0
Covilhã,1960503,753.0
Figueira de Castelo Rodrigo,1960904,0.0
Fornos de Algodres,1960905,0.0
Fundão,1960504,206.0
Gouveia,1960906,76.0
Guarda,1960907,376.0
Manteigas,1960908,0.0
Mêda,1960909,0.0
Pinhel,1960910,0.0
Sabugal,1960911,39.0
Seia,1960912,136.0
Trancoso,1960913,0.0
Oeste e Vale do Tejo,1D,6971.0
Oeste,1D1,3366.0
Alcobaça,1D11001,443.0
Alenquer,1D11101,322.0
Arruda dos Vinhos,1D11102,106.0
Bombarral,1D11005,114.0
Cadaval,1D11104,93.0
Caldas da Rainha,1D11006,694.0
Lourinhã,1D11108,225.0
Nazaré,1D11011,199.0
Óbidos,1D11012,92.0
Peniche,1D11014,291.0
Sobral de Monte Agraço,1D11112,65.0
Torres Vedras,1D11113,722.0
Médio Tejo,1D2,1841.0
Abrantes,1D21401,283.0
Alcanena,1D21402,85.0
Constância,1D21408,0.0
Entroncamento,1D21410,240.0
Ferreira do Zêzere,1D21411,54.0
Mação,1D21413,37.0
Ourém,1D21421,491.0
Sardoal,1D21417,0.0
Tomar,1D21418,331.0
Torres Novas,1D21419,243.0
Vila Nova da Barquinha,1D21420,0.0
Lezíria do Tejo,1D3,1764.0
Almeirim,1D31403,177.0
Alpiarça,1D31404,0.0
Azambuja,1D31103,150.0
Benavente,1D31405,224.0
Cartaxo,1D31406,163.0
Chamusca,1D31407,50.0
Coruche,1D31409,93.0
Golegã,1D31412,35.0
Rio Maior,1D31414,200.0
Salvaterra de Magos,1D31415,92.0
Santarém,1D31416,550.0
Grande Lisboa,1A,24121.0
Grande Lisboa,1A0,24121.0
Amadora,1A01115,1878.0
Águas Livres,1A0111513,492.0
Alfragide,1A0111512,78.0
Encosta do Sol,1A0111514,286.0
Falagueira-Venda Nova,1A0111515,222.0
Mina de Água,1A0111516,370.0
Venteira,1A0111517,430.0
Cascais,1A01105,2441.0
Alcabideche,1A0110501,347.0
São Domingos de Rana,1A0110506,418.0
União das freguesias de Carcavelos e Parede,1A0110507,633.0
União das freguesias de Cascais e Estoril,1A0110508,1043.0
Lisboa,1A01106,9463.0
Ajuda,1A0110601,241.0
Alcântara,1A0110602,326.0
Alvalade,1A0110654,518.0
Areeiro,1A0110655,392.0
Arroios,1A0110656,886.0
Avenidas Novas,1A0110657,496.0
Beato,1A0110607,231.0
Belém,1A0110658,254.0
Benfica,1A0110608,536.0
Campo de Ourique,1A0110659,516.0
Campolide,1A0110610,300.0
Carnide,1A0110611,157.0
Estrela,1A0110660,441.0
Lumiar,1A0110618,588.0
Marvila,1A0110621,134.0
Misericórdia,1A0110661,375.0
Olivais,1A0110633,249.0
Parque das Nações,1A0110662,351.0
Penha de França,1A0110663,558.0
Santa Clara,1A0110664,195.0
Santa Maria Maior,1A0110665,308.0
Santo António,1A0110666,345.0
São Domingos de Benfica,1A0110639,594.0
São Vicente,1A0110667,472.0
Loures,1A01107,1919.0
Bucelas,1A0110702,34.0
Fanhões,1A0110705,0.0
Loures,1A0110707,272.0
Lousa,1A0110708,0.0
"União das freguesias de Camarate, Unhos e Apelação",1A0110731,351.0
União das freguesias de Moscavide e Portela,1A0110726,319.0
União das freguesias de Sacavém e Prior Velho,1A0110727,297.0
"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",1A0110728,346.0
União das freguesias de Santo Antão e São Julião do Tojal,1A0110729,53.0
União das freguesias de Santo António dos Cavaleiros e Frielas,1A0110730,200.0
Mafra,1A01109,794.0
Carvoeira,1A0110902,0.0
Encarnação,1A0110904,0.0
Ericeira,1A0110906,237.0
Mafra,1A0110909,194.0
Milharado,1A0110911,53.0
Santo Isidoro,1A0110913,0.0
União das freguesias de Azueira e Sobral da Abelheira,1A0110918,0.0
"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário",1A0110919,0.0
União das freguesias de Igreja Nova e Cheleiros,1A0110920,48.0
União das freguesias de Malveira e São Miguel de Alcainça,1A0110921,67.0
União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,1A0110922,64.0
Odivelas,1A01116,1576.0
Odivelas,1A0111603,699.0
União das freguesias de Pontinha e Famões,1A0111608,414.0
União das freguesias de Póvoa de Santo Adrião e Olival Basto,1A0111609,208.0
União das freguesias de Ramada e Caneças,1A0111610,255.0
Oeiras,1A01110,1864.0
Barcarena,1A0111002,108.0
Porto Salvo,1A0111009,111.0
"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",1A0111012,589.0
União das freguesias de Carnaxide e Queijas,1A0111013,271.0
"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1A0111014,785.0
Sintra,1A01111,3107.0
Algueirão-Mem Martins,1A0111102,530.0
Casal de Cambra,1A0111115,90.0
Colares,1A0111105,94.0
Rio de Mouro,1A0111108,350.0
União das freguesias de Agualva e Mira-Sintra,1A0111122,325.0
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",1A0111123,171.0
União das freguesias de Massamá e Monte Abraão,1A0111125,395.0
União das freguesias de Queluz e Belas,1A0111126,404.0
União das freguesias de São João das Lampas e Terrugem,1A0111127,142.0
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1A0111128,245.0
União das freguesias do Cacém e São Marcos,1A0111124,361.0
Vila Franca de Xira,1A01114,1079.0
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",1A0111412,94.0
União das freguesias de Alverca do Ribatejo e Sobralinho,1A0111413,322.0
União das freguesias de Castanheira do Ribatejo e Cachoeiras,1A0111414,76.0
União das freguesias de Póvoa de Santa Iria e Forte da Casa,1A0111415,250.0
Vialonga,1A0111408,120.0
Vila Franca de Xira,1A0111409,217.0
Península de Setúbal,1B,6981.0
Península de Setúbal,1B0,6981.0
Alcochete,1B01502,138.0
Alcochete,1B0150201,97.0
Samouco,1B0150202,0.0
São Francisco,1B0150203,0.0
Almada,1B01503,1787.0
Costa da Caparica,1B0150303,256.0
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1B0150312,704.0
União das freguesias de Caparica e Trafaria,1B0150313,167.0
União das freguesias de Charneca de Caparica e Sobreda,1B0150314,341.0
União das freguesias de Laranjeiro e Feijó,1B0150315,319.0
Barreiro,1B01504,791.0
Santo António da Charneca,1B0150407,45.0
"União das freguesias de Alto do Seixalinho, Santo André e Verderena",1B0150409,500.0
União das freguesias de Barreiro e Lavradio,1B0150410,234.0
União das freguesias de Palhais e Coina,1B0150411,0.0
Moita,1B01506,512.0
Alhos Vedros,1B0150601,72.0
Moita,1B0150603,124.0
União das freguesias de Baixa da Banheira e Vale da Amoreira,1B0150607,300.0
União das freguesias de Gaio-Rosário e Sarilhos Pequenos,1B0150608,0.0
Montijo,1B01507,556.0
Canha,1B0150701,0.0
Sarilhos Grandes,1B0150704,0.0
União das freguesias de Atalaia e Alto Estanqueiro-Jardia,1B0150709,0.0
União das freguesias de Montijo e Afonsoeiro,1B0150710,486.0
União das freguesias de Pegões,1B0150711,0.0
Palmela,1B01508,460.0
Palmela,1B0150802,117.0
Pinhal Novo,1B0150803,227.0
Quinta do Anjo,1B0150804,94.0
União das freguesias de Poceirão e Marateca,1B0150806,0.0
Seixal,1B01510,1134.0
Amora,1B0151002,350.0
Corroios,1B0151005,356.0
Fernão Ferro,1B0151006,59.0
"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",1B0151007,369.0
Sesimbra,1B01511,318.0
Quinta do Conde,1B0151103,146.0
Sesimbra (Castelo),1B0151101,120.0
Sesimbra (Santiago),1B0151102,52.0
Setúbal,1B01512,1285.0
Gâmbia-Pontes-Alto da Guerra,1B0151207,0.0
Sado,1B0151208,0.0
Setúbal (São Sebastião),1B0151205,501.0
União das freguesias de Azeitão (São Lourenço e São Simão),1B0151209,109.0
"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",1B0151210,639.0
Alentejo,1C,3232.0
Alentejo Litoral,1C1,635.0
Alcácer do Sal,1C11501,74.0
Grândola,1C11505,102.0
Odemira,1C10211,203.0
Santiago do Cacém,1C11509,159.0
Sines,1C11513,97.0
Baixo Alentejo,1C2,553.0
Aljustrel,1C20201,33.0
Almodôvar,1C20202,38.0
Alvito,1C20203,0.0
Barrancos,1C20204,0.0
Beja,1C20205,261.0
Castro Verde,1C20206,0.0
Cuba,1C20207,0.0
Ferreira do Alentejo,1C20208,39.0
Mértola,1C20209,0.0
Moura,1C20210,43.0
Ourique,1C20212,0.0
Serpa,1C20213,0.0
Vidigueira,1C20214,0.0
Alto Alentejo,1C3,835.0
Alter do Chão,1C31201,0.0
Arronches,1C31202,0.0
Avis,1C31203,0.0
Campo Maior,1C31204,50.0
Castelo de Vide,1C31205,0.0
Crato,1C31206,0.0
Elvas,1C31207,240.0
Fronteira,1C31208,0.0
Gavião,1C31209,0.0
Marvão,1C31210,0.0
Monforte,1C31211,0.0
Nisa,1C31212,0.0
Ponte de Sor,1C31213,112.0
Portalegre,1C31214,233.0
Sousel,1C31215,0.0
Alentejo Central,1C4,1209.0
Alandroal,1C40701,0.0
Arraiolos,1C40702,40.0
Borba,1C40703,43.0
Estremoz,1C40704,114.0
Évora,1C40705,533.0
Montemor-o-Novo,1C40706,165.0
Mora,1C40707,0.0
Mourão,1C40708,0.0
Portel,1C40709,0.0
Redondo,1C40710,42.0
Reguengos de Monsaraz,1C40711,48.0
Vendas Novas,1C40712,104.0
Viana do Alentejo,1C40713,0.0
Vila Viçosa,1C40714,40.0
Algarve,15,5677.0
Algarve,150,5677.0
Albufeira,1500801,610.0
Alcoutim,1500802,0.0
Aljezur,1500803,45.0
Castro Marim,1500804,51.0
Faro,1500805,810.0
Lagoa,1500806,236.0
Lagos,1500807,358.0
Loulé,1500808,1063.0
Monchique,1500809,0.0
Olhão,1500810,342.0
Portimão,1500811,1001.0
São Brás de Alportel,1500812,109.0
Silves,1500813,438.0
Tavira,1500814,301.0
Vila do Bispo,1500815,48.0
Vila Real de Santo António,1500816,222.0
Região Autónoma dos Açores,2,1379.0
Região Autónoma dos Açores,20,1379.0
Região Autónoma dos Açores,200,1379.0
Angra do Heroísmo,2004301,324.0
Calheta (R.A.A.),2004501,0.0
Corvo,2004901,0.0
Horta,2004701,68.0
Lagoa (R.A.A.),2004201,47.0
Lajes das Flores,2004801,0.0
Lajes do Pico,2004601,0.0
Madalena,2004602,33.0
Nordeste,2004202,0.0
Ponta Delgada,2004203,464.0
Povoação,2004204,0.0
Ribeira Grande,2004205,95.0
Santa Cruz da Graciosa,2004401,0.0
Santa Cruz das Flores,2004802,0.0
São Roque do Pico,2004603,0.0
Velas,2004502,0.0
Vila da Praia da Vitória,2004302,181.0
Vila do Porto,2004101,0.0
Vila Franca do Campo,2004206,0.0
Região Autónoma da Madeira,3,1349.0
Região Autónoma da Madeira,30,1349.0
Região Autónoma da Madeira,300,1349.0
Calheta (R.A.M.),3003101,47.0
Câmara de Lobos,3003102,69.0
Funchal,3003103,855.0
Machico,3003104,48.0
Ponta do Sol,3003105,0.0
Porto Moniz,3003106,0.0
Ribeira Brava,3003107,0.0
Santa Cruz,3003108,218.0
Santana,3003109,0.0
São Vicente,3003110,0.0
Porto Santo,3003201,0.0
