local,codigo,Avaliações bancárias de alojamentos familiares
Seia,1960912,42
Trancoso,1960913,0
Oeste e Vale do Tejo,1D,3044
Oeste,1D1,1317
Alcobaça,1D11001,159
Alenquer,1D11101,227
Arruda dos Vinhos,1D11102,50
Bombarral,1D11005,59
Cadaval,1D11104,44
Caldas da Rainha,1D11006,181
Lourinhã,1D11108,72
Nazaré,1D11011,74
Óbidos,1D11012,46
Peniche,1D11014,115
Sobral de Monte Agraço,1D11112,43
Torres Vedras,1D11113,247
Médio Tejo,1D2,814
Abrantes,1D21401,101
Alcanena,1D21402,41
Constância,1D21408,0
Entroncamento,1D21410,201
Ferreira do Zêzere,1D21411,0
Mação,1D21413,0
Ourém,1D21421,124
Sardoal,1D21417,0
Tomar,1D21418,107
Torres Novas,1D21419,129
Vila Nova da Barquinha,1D21420,44
Lezíria do Tejo,1D3,913
Almeirim,1D31403,105
Alpiarça,1D31404,36
Azambuja,1D31103,58
Benavente,1D31405,174
Cartaxo,1D31406,93
Chamusca,1D31407,0
Coruche,1D31409,44
Golegã,1D31412,0
Rio Maior,1D31414,89
Salvaterra de Magos,1D31415,70
Santarém,1D31416,200
Grande Lisboa,1A,8091
Grande Lisboa,1A0,8091
Amadora,1A01115,697
Cascais,1A01105,721
Lisboa,1A01106,1822
Loures,1A01107,660
Mafra,1A01109,339
Odivelas,1A01116,565
Oeiras,1A01110,692
Sintra,1A01111,1913
Vila Franca de Xira,1A01114,682
Península de Setúbal,1B,4571
Península de Setúbal,1B0,4571
Alcochete,1B01502,89
Almada,1B01503,821
Barreiro,1B01504,509
Moita,1B01506,426
Montijo,1B01507,356
Palmela,1B01508,377
Seixal,1B01510,1015
Sesimbra,1B01511,316
Setúbal,1B01512,662
Alentejo,1C,1285
Alentejo Litoral,1C1,285
Alcácer do Sal,1C11501,43
Grândola,1C11505,48
Odemira,1C10211,44
Santiago do Cacém,1C11509,93
Sines,1C11513,57
Baixo Alentejo,1C2,321
Aljustrel,1C20201,0
Almodôvar,1C20202,0
Alvito,1C20203,0
Barrancos,1C20204,0
Beja,1C20205,128
Castro Verde,1C20206,0
Cuba,1C20207,0
Ferreira do Alentejo,1C20208,0
Mértola,1C20209,0
Moura,1C20210,33
Ourique,1C20212,0
Serpa,1C20213,0
Vidigueira,1C20214,0
Alto Alentejo,1C3,292
Alter do Chão,1C31201,0
Arronches,1C31202,0
Avis,1C31203,0
Campo Maior,1C31204,0
Castelo de Vide,1C31205,0
Crato,1C31206,0
Elvas,1C31207,92
Fronteira,1C31208,0
Gavião,1C31209,0
Marvão,1C31210,0
Monforte,1C31211,0
Nisa,1C31212,0
Ponte de Sor,1C31213,0
Portalegre,1C31214,62
Sousel,1C31215,0
Alentejo Central,1C4,387
Alandroal,1C40701,0
Arraiolos,1C40702,0
Borba,1C40703,0
Estremoz,1C40704,0
Évora,1C40705,141
Montemor-o-Novo,1C40706,34
Mora,1C40707,0
Mourão,1C40708,0
Portel,1C40709,0
Redondo,1C40710,0
Reguengos de Monsaraz,1C40711,33
Vendas Novas,1C40712,0
Viana do Alentejo,1C40713,0
Vila Viçosa,1C40714,0
Algarve,15,2014
Algarve,150,2014
Albufeira,1500801,249
Alcoutim,1500802,0
Aljezur,1500803,0
Castro Marim,1500804,0
Faro,1500805,234
Lagoa,1500806,112
Lagos,1500807,132
Loulé,1500808,286
Monchique,1500809,0
Olhão,1500810,188
Portimão,1500811,392
São Brás de Alportel,1500812,33
Silves,1500813,149
Tavira,1500814,97
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,87
Região Autónoma dos Açores,2,601
Região Autónoma dos Açores,20,601
Região Autónoma dos Açores,200,601
Angra do Heroísmo,2004301,113
Calheta (R.A.A.),2004501,0
Corvo,2004901,0
Horta,2004701,35
Lagoa (R.A.A.),2004201,33
Lajes das Flores,2004801,0
Lajes do Pico,2004601,0
Madalena,2004602,0
Nordeste,2004202,0
Ponta Delgada,2004203,170
Povoação,2004204,0
Ribeira Grande,2004205,73
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,0
São Roque do Pico,2004603,0
Velas,2004502,0
Vila da Praia da Vitória,2004302,53
Vila do Porto,2004101,0
Vila Franca do Campo,2004206,0
Região Autónoma da Madeira,3,706
Região Autónoma da Madeira,30,706
Região Autónoma da Madeira,300,706
Calheta (R.A.M.),3003101,0
Câmara de Lobos,3003102,69
Funchal,3003103,300
Machico,3003104,35
Ponta do Sol,3003105,0
Porto Moniz,3003106,0
Ribeira Brava,3003107,0
Santa Cruz,3003108,196
Santana,3003109,0
São Vicente,3003110,0
Porto Santo,3003201,0
