local,codigo,Bens imóveis culturais
Celorico da Beira,16J0903,11.0
Covilhã,16J0503,25.0
Figueira de Castelo Rodrigo,16J0904,17.0
Fornos de Algodres,16J0905,11.0
Fundão,16J0504,27.0
Gouveia,16J0906,10.0
Guarda,16J0907,29.0
Manteigas,16J0908,1.0
Mêda,16J0909,13.0
Pinhel,16J0910,16.0
Sabugal,16J0911,21.0
Seia,16J0912,14.0
Trancoso,16J0913,17.0
Área Metropolitana de Lisboa,17,701.0
Área Metropolitana de Lisboa,170,701.0
Alcochete,1701502,7.0
Almada,1701503,20.0
Amadora,1701115,14.0
Barreiro,1701504,9.0
Cascais,1701105,61.0
Lisboa,1701106,307.0
Loures,1701107,27.0
Mafra,1701109,33.0
Moita,1701506,5.0
Montijo,1701507,15.0
Odivelas,1701116,11.0
Oeiras,1701110,20.0
Palmela,1701508,13.0
Seixal,1701510,16.0
Sesimbra,1701511,11.0
Setúbal,1701512,35.0
Sintra,1701111,74.0
Vila Franca de Xira,1701114,23.0
Alentejo,18,779.0
Alentejo Litoral,181,55.0
Alcácer do Sal,1811501,17.0
Grândola,1811505,12.0
Odemira,1810211,3.0
Santiago do Cacém,1811509,17.0
Sines,1811513,6.0
Baixo Alentejo,184,124.0
Aljustrel,1840201,4.0
Almodôvar,1840202,7.0
Alvito,1840203,20.0
Barrancos,1840204,1.0
Beja,1840205,18.0
Castro Verde,1840206,7.0
Cuba,1840207,6.0
Ferreira do Alentejo,1840208,16.0
Mértola,1840209,5.0
Moura,1840210,21.0
Ourique,1840212,3.0
Serpa,1840213,9.0
Vidigueira,1840214,7.0
Lezíria do Tejo,185,86.0
Almeirim,1851403,1.0
Alpiarça,1851404,3.0
Azambuja,1851103,10.0
Benavente,1851405,3.0
Cartaxo,1851406,4.0
Chamusca,1851407,2.0
Coruche,1851409,4.0
Golegã,1851412,5.0
Rio Maior,1851414,5.0
Salvaterra de Magos,1851415,2.0
Santarém,1851416,47.0
Alto Alentejo,186,242.0
Alter do Chão,1861201,12.0
Arronches,1861202,5.0
Avis,1861203,11.0
Campo Maior,1861204,18.0
Castelo de Vide,1861205,37.0
Crato,1861206,9.0
Elvas,1861207,41.0
Fronteira,1861208,10.0
Gavião,1861209,7.0
Marvão,1861210,10.0
Monforte,1861211,12.0
Nisa,1861212,17.0
Ponte de Sor,1861213,1.0
Portalegre,1861214,46.0
Sousel,1861215,6.0
Alentejo Central,187,272.0
Alandroal,1870701,12.0
Arraiolos,1870702,15.0
Borba,1870703,19.0
Estremoz,1870704,30.0
Évora,1870705,85.0
Montemor-o-Novo,1870706,27.0
Mora,1870707,7.0
Mourão,1870708,3.0
Portel,1870709,7.0
Redondo,1870710,9.0
Reguengos de Monsaraz,1870711,22.0
Vendas Novas,1870712,2.0
Viana do Alentejo,1870713,8.0
Vila Viçosa,1870714,26.0
Algarve,15,206.0
Algarve,150,206.0
Albufeira,1500801,3.0
Alcoutim,1500802,7.0
Aljezur,1500803,3.0
Castro Marim,1500804,3.0
Faro,1500805,41.0
Lagoa,1500806,4.0
Lagos,1500807,14.0
Loulé,1500808,18.0
Monchique,1500809,3.0
Olhão,1500810,6.0
Portimão,1500811,15.0
São Brás de Alportel,1500812,1.0
Silves,1500813,54.0
Tavira,1500814,21.0
Vila do Bispo,1500815,9.0
Vila Real de Santo António,1500816,4.0
Região Autónoma dos Açores,2,332.0
Região Autónoma dos Açores,20,332.0
Região Autónoma dos Açores,200,332.0
Angra do Heroísmo,2004301,70.0
Calheta,2004501,6.0
Corvo,2004901,4.0
Horta,2004701,38.0
Lagoa,2004201,12.0
Lajes das Flores,2004801,9.0
Lajes do Pico,2004601,14.0
Madalena,2004602,8.0
Nordeste,2004202,6.0
Ponta Delgada,2004203,54.0
Povoação,2004204,4.0
Ribeira Grande,2004205,22.0
Santa Cruz da Graciosa,2004401,17.0
Santa Cruz das Flores,2004802,9.0
São Roque do Pico,2004603,12.0
Velas,2004502,12.0
Vila da Praia da Vitória,2004302,13.0
Vila do Porto,2004101,14.0
Vila Franca do Campo,2004206,8.0
Região Autónoma da Madeira,3,180.0
Região Autónoma da Madeira,30,180.0
Região Autónoma da Madeira,300,180.0
Calheta,3003101,24.0
Câmara de Lobos,3003102,5.0
Funchal,3003103,81.0
Machico,3003104,16.0
Ponta do Sol,3003105,14.0
Porto Moniz,3003106,2.0
Porto Santo,3003201,4.0
Ribeira Brava,3003107,5.0
Santa Cruz,3003108,15.0
Santana,3003109,7.0
São Vicente,3003110,7.0
