local,codigo,Valor médio dos bilhetes vendidos de espetáculos ao vivo
Faro,1500805,19.9
Lagoa,1500806,7.9
Lagos,1500807,9.3
Loulé,1500808,8.7
Monchique,1500809,0.0
Olhão,1500810,11.8
Portimão,1500811,15.9
São Brás de Alportel,1500812,0.0
Silves,1500813,13.5
Tavira,1500814,9.7
Vila do Bispo,1500815,2.8
Vila Real de Santo António,1500816,0.0
Região Autónoma dos Açores,2,15.8
Região Autónoma dos Açores,20,15.8
Região Autónoma dos Açores,200,15.8
Angra do Heroísmo,2004301,15.8
Calheta,2004501,0.0
Corvo,2004901,0.0
Horta,2004701,0.0
Lagoa,2004201,11.7
Lajes das Flores,2004801,0.0
Lajes do Pico,2004601,0.0
Madalena,2004602,0.0
Nordeste,2004202,0.0
Ponta Delgada,2004203,18.8
Povoação,2004204,0.0
Ribeira Grande,2004205,10.2
Santa Cruz da Graciosa,2004401,0.0
Santa Cruz das Flores,2004802,0.0
São Roque do Pico,2004603,0.0
Velas,2004502,0.0
Vila da Praia da Vitória,2004302,0.0
Vila do Porto,2004101,22.6
Vila Franca do Campo,2004206,0.0
Região Autónoma da Madeira,3,13.9
Região Autónoma da Madeira,30,13.9
Região Autónoma da Madeira,300,13.9
Calheta,3003101,10.0
Câmara de Lobos,3003102,0.0
Funchal,3003103,14.1
Machico,3003104,4.3
Ponta do Sol,3003105,10.4
Porto Moniz,3003106,0.0
Porto Santo,3003201,0.0
Ribeira Brava,3003107,0.0
Santa Cruz,3003108,0.0
Santana,3003109,0.0
São Vicente,3003110,0.0
