local,codigo,Espectadores de espetáculos ao vivo por habitante
Figueira de Castelo Rodrigo,1960904,0.0
Fornos de Algodres,1960905,0.0
Fundão,1960504,1.1
Gouveia,1960906,0.2
Guarda,1960907,1.8
Manteigas,1960908,11.8
Mêda,1960909,0.0
Pinhel,1960910,0.0
Sabugal,1960911,0.0
Seia,1960912,0.5
Trancoso,1960913,6.9
Oeste e Vale do Tejo,1D,1.5
Oeste,1D1,1.8
Alcobaça,1D11001,6.9
Alenquer,1D11101,1.0
Arruda dos Vinhos,1D11102,2.9
Bombarral,1D11005,0.3
Cadaval,1D11104,0.5
Caldas da Rainha,1D11006,0.6
Lourinhã,1D11108,0.6
Nazaré,1D11011,0.0
Óbidos,1D11012,0.3
Peniche,1D11014,0.0
Sobral de Monte Agraço,1D11112,0.5
Torres Vedras,1D11113,0.9
Médio Tejo,1D2,1.6
Abrantes,1D21401,0.1
Alcanena,1D21402,1.0
Constância,1D21408,2.4
Entroncamento,1D21410,0.3
Ferreira do Zêzere,1D21411,1.1
Mação,1D21413,0.5
Ourém,1D21421,2.1
Sardoal,1D21417,1.4
Tomar,1D21418,3.8
Torres Novas,1D21419,1.8
Vila Nova da Barquinha,1D21420,0.2
Lezíria do Tejo,1D3,0.9
Almeirim,1D31403,0.5
Alpiarça,1D31404,0.6
Azambuja,1D31103,0.0
Benavente,1D31405,0.1
Cartaxo,1D31406,0.2
Chamusca,1D31407,0.1
Coruche,1D31409,0.0
Golegã,1D31412,0.0
Rio Maior,1D31414,1.3
Salvaterra de Magos,1D31415,1.0
Santarém,1D31416,0.2
Grande Lisboa,1A,1.9
Grande Lisboa,1A0,1.9
Amadora,1A01115,0.3
Cascais,1A01105,0.5
Lisboa,1A01106,5.4
Loures,1A01107,0.3
Mafra,1A01109,0.1
Odivelas,1A01116,0.1
Oeiras,1A01110,3.3
Sintra,1A01111,0.4
Vila Franca de Xira,1A01114,0.4
Península de Setúbal,1B,1.0
Península de Setúbal,1B0,1.0
Alcochete,1B01502,1.0
Almada,1B01503,0.5
Barreiro,1B01504,0.7
Moita,1B01506,0.2
Montijo,1B01507,0.3
Palmela,1B01508,0.8
Seixal,1B01510,0.1
Sesimbra,1B01511,8.0
Setúbal,1B01512,0.7
Alentejo,1C,2.0
Alentejo Litoral,1C1,2.4
Alcácer do Sal,1C11501,0.0
Grândola,1C11505,0.0
Odemira,1C10211,1.5
Santiago do Cacém,1C11509,2.4
Sines,1C11513,3.5
Baixo Alentejo,1C2,2.8
Aljustrel,1C20201,2.0
Almodôvar,1C20202,0.0
Alvito,1C20203,0.0
Barrancos,1C20204,0.0
Beja,1C20205,3.5
Castro Verde,1C20206,5.3
Cuba,1C20207,0.0
Ferreira do Alentejo,1C20208,1.5
Mértola,1C20209,2.9
Moura,1C20210,3.7
Ourique,1C20212,0.0
Serpa,1C20213,1.0
Vidigueira,1C20214,0.0
Alto Alentejo,1C3,1.8
Alter do Chão,1C31201,2.2
Arronches,1C31202,0.0
Avis,1C31203,10.5
Campo Maior,1C31204,0.0
Castelo de Vide,1C31205,2.0
Crato,1C31206,0.0
Elvas,1C31207,2.5
Fronteira,1C31208,0.0
Gavião,1C31209,0.0
Marvão,1C31210,0.0
Monforte,1C31211,1.1
Nisa,1C31212,2.0
Ponte de Sor,1C31213,1.4
Portalegre,1C31214,0.0
Sousel,1C31215,0.4
Alentejo Central,1C4,1.2
Alandroal,1C40701,2.9
Arraiolos,1C40702,3.2
Borba,1C40703,2.2
Estremoz,1C40704,0.8
Évora,1C40705,1.0
Montemor-o-Novo,1C40706,2.1
Mora,1C40707,0.0
Mourão,1C40708,0.0
Portel,1C40709,0.3
Redondo,1C40710,0.0
Reguengos de Monsaraz,1C40711,0.3
Vendas Novas,1C40712,0.0
Viana do Alentejo,1C40713,0.6
Vila Viçosa,1C40714,3.2
Algarve,15,2.0
Algarve,150,2.0
Albufeira,1500801,6.9
Alcoutim,1500802,0.0
Aljezur,1500803,2.6
Castro Marim,1500804,0.0
Faro,1500805,1.7
Lagoa,1500806,0.1
Lagos,1500807,0.7
Loulé,1500808,1.9
Monchique,1500809,0.0
Olhão,1500810,1.0
Portimão,1500811,1.6
São Brás de Alportel,1500812,0.0
Silves,1500813,0.1
Tavira,1500814,4.8
Vila do Bispo,1500815,1.9
Vila Real de Santo António,1500816,0.0
Região Autónoma dos Açores,2,1.2
Região Autónoma dos Açores,20,1.2
Região Autónoma dos Açores,200,1.2
Angra do Heroísmo,2004301,0.9
Calheta (R.A.A.),2004501,0.0
Corvo,2004901,0.0
Horta,2004701,0.0
Lagoa (R.A.A.),2004201,8.3
Lajes das Flores,2004801,0.7
Lajes do Pico,2004601,0.0
Madalena,2004602,0.0
Nordeste,2004202,0.0
Ponta Delgada,2004203,1.0
Povoação,2004204,0.0
Ribeira Grande,2004205,0.4
Santa Cruz da Graciosa,2004401,0.0
Santa Cruz das Flores,2004802,0.5
São Roque do Pico,2004603,0.0
Velas,2004502,0.0
Vila da Praia da Vitória,2004302,0.0
Vila do Porto,2004101,3.6
Vila Franca do Campo,2004206,0.0
Região Autónoma da Madeira,3,1.0
Região Autónoma da Madeira,30,1.0
Região Autónoma da Madeira,300,1.0
Calheta (R.A.M.),3003101,1.0
Câmara de Lobos,3003102,0.7
Funchal,3003103,1.4
Machico,3003104,0.3
Ponta do Sol,3003105,1.8
Porto Moniz,3003106,0.0
Ribeira Brava,3003107,0.5
Santa Cruz,3003108,0.5
Santana,3003109,1.8
São Vicente,3003110,0.0
Porto Santo,3003201,2.4
