local,codigo,Sessões de espetáculos ao vivo
Vila Flor,11E0410,12.0
Vimioso,11E0411,10.0
Vinhais,11E0412,32.0
Centro,16,9915.0
Oeste,16B,1218.0
Alcobaça,16B1001,343.0
Alenquer,16B1101,84.0
Arruda dos Vinhos,16B1102,60.0
Bombarral,16B1005,9.0
Cadaval,16B1104,16.0
Caldas da Rainha,16B1006,134.0
Lourinhã,16B1108,98.0
Nazaré,16B1011,22.0
Óbidos,16B1012,17.0
Peniche,16B1014,87.0
Sobral de Monte Agraço,16B1112,41.0
Torres Vedras,16B1113,307.0
Região de Aveiro,16D,1340.0
Águeda,16D0101,89.0
Albergaria-a-Velha,16D0102,48.0
Anadia,16D0103,3.0
Aveiro,16D0105,500.0
Estarreja,16D0108,163.0
Ílhavo,16D0110,338.0
Murtosa,16D0112,0.0
Oliveira do Bairro,16D0114,65.0
Ovar,16D0115,64.0
Sever do Vouga,16D0117,64.0
Vagos,16D0118,6.0
Região de Coimbra,16E,2971.0
Arganil,16E0601,54.0
Cantanhede,16E0602,157.0
Coimbra,16E0603,1728.0
Condeixa-a-Nova,16E0604,66.0
Figueira da Foz,16E0605,184.0
Góis,16E0606,29.0
Lousã,16E0607,44.0
Mealhada,16E0111,50.0
Mira,16E0608,4.0
Miranda do Corvo,16E0609,20.0
Montemor-o-Velho,16E0610,187.0
Mortágua,16E1808,28.0
Oliveira do Hospital,16E0611,64.0
Pampilhosa da Serra,16E0612,37.0
Penacova,16E0613,36.0
Penela,16E0614,25.0
Soure,16E0615,152.0
Tábua,16E0616,32.0
Vila Nova de Poiares,16E0617,74.0
Região de Leiria,16F,1407.0
Alvaiázere,16F1002,42.0
Ansião,16F1003,16.0
Batalha,16F1004,81.0
Castanheira de Pêra,16F1007,1.0
Figueiró dos Vinhos,16F1008,36.0
Leiria,16F1009,790.0
Marinha Grande,16F1010,220.0
Pedrógão Grande,16F1013,29.0
Pombal,16F1015,174.0
Porto de Mós,16F1016,18.0
Viseu Dão Lafões,16G,888.0
Aguiar da Beira,16G0901,7.0
Carregal do Sal,16G1802,10.0
Castro Daire,16G1803,37.0
Mangualde,16G1806,60.0
Nelas,16G1809,3.0
Oliveira de Frades,16G1810,35.0
Penalva do Castelo,16G1811,5.0
Santa Comba Dão,16G1814,33.0
São Pedro do Sul,16G1816,18.0
Sátão,16G1817,1.0
Tondela,16G1821,132.0
Vila Nova de Paiva,16G1822,29.0
Viseu,16G1823,488.0
Vouzela,16G1824,30.0
Beira Baixa,16H,223.0
Castelo Branco,16H0502,120.0
Idanha-a-Nova,16H0505,46.0
Oleiros,16H0506,48.0
Penamacor,16H0507,0.0
Proença-a-Nova,16H0508,2.0
Vila Velha de Ródão,16H0511,7.0
Médio Tejo,16I,761.0
Abrantes,16I1401,26.0
Alcanena,16I1402,61.0
Constância,16I1408,17.0
Entroncamento,16I1410,40.0
Ferreira do Zêzere,16I1411,20.0
Mação,16I1413,23.0
Ourém,16I1421,256.0
Sardoal,16I1417,28.0
Sertã,16I0509,2.0
Tomar,16I1418,93.0
Torres Novas,16I1419,158.0
Vila de Rei,16I0510,22.0
Vila Nova da Barquinha,16I1420,15.0
Beiras e Serra da Estrela,16J,1107.0
Almeida,16J0902,65.0
Belmonte,16J0501,77.0
Celorico da Beira,16J0903,16.0
Covilhã,16J0503,191.0
Figueira de Castelo Rodrigo,16J0904,1.0
Fornos de Algodres,16J0905,6.0
Fundão,16J0504,183.0
Gouveia,16J0906,8.0
Guarda,16J0907,295.0
Manteigas,16J0908,100.0
Mêda,16J0909,0.0
Pinhel,16J0910,3.0
Sabugal,16J0911,62.0
Seia,16J0912,82.0
Trancoso,16J0913,18.0
Área Metropolitana de Lisboa,17,13153.0
Área Metropolitana de Lisboa,170,13153.0
Alcochete,1701502,83.0
Almada,1701503,637.0
Amadora,1701115,208.0
Barreiro,1701504,179.0
Cascais,1701105,582.0
Lisboa,1701106,7906.0
Loures,1701107,216.0
Mafra,1701109,52.0
Moita,1701506,74.0
Montijo,1701507,291.0
Odivelas,1701116,250.0
Oeiras,1701110,784.0
Palmela,1701508,295.0
Seixal,1701510,126.0
Sesimbra,1701511,216.0
Setúbal,1701512,398.0
Sintra,1701111,577.0
Vila Franca de Xira,1701114,279.0
Alentejo,18,3625.0
Alentejo Litoral,181,427.0
Alcácer do Sal,1811501,43.0
Grândola,1811505,112.0
Odemira,1810211,63.0
Santiago do Cacém,1811509,85.0
Sines,1811513,124.0
Baixo Alentejo,184,1182.0
Aljustrel,1840201,229.0
Almodôvar,1840202,70.0
Alvito,1840203,36.0
Barrancos,1840204,8.0
Beja,1840205,400.0
Castro Verde,1840206,127.0
Cuba,1840207,7.0
Ferreira do Alentejo,1840208,35.0
Mértola,1840209,116.0
Moura,1840210,70.0
Ourique,1840212,21.0
Serpa,1840213,62.0
Vidigueira,1840214,1.0
Lezíria do Tejo,185,482.0
Almeirim,1851403,44.0
Alpiarça,1851404,29.0
Azambuja,1851103,75.0
Benavente,1851405,12.0
Cartaxo,1851406,36.0
Chamusca,1851407,8.0
Coruche,1851409,60.0
Golegã,1851412,0.0
Rio Maior,1851414,101.0
Salvaterra de Magos,1851415,38.0
Santarém,1851416,79.0
Alto Alentejo,186,442.0
Alter do Chão,1861201,6.0
Arronches,1861202,1.0
Avis,1861203,56.0
Campo Maior,1861204,80.0
Castelo de Vide,1861205,17.0
Crato,1861206,0.0
Elvas,1861207,101.0
Fronteira,1861208,0.0
Gavião,1861209,10.0
Marvão,1861210,0.0
Monforte,1861211,6.0
Nisa,1861212,4.0
Ponte de Sor,1861213,53.0
Portalegre,1861214,103.0
Sousel,1861215,5.0
Alentejo Central,187,1092.0
Alandroal,1870701,36.0
Arraiolos,1870702,87.0
Borba,1870703,71.0
Estremoz,1870704,86.0
Évora,1870705,525.0
Montemor-o-Novo,1870706,137.0
Mora,1870707,7.0
Mourão,1870708,24.0
Portel,1870709,12.0
Redondo,1870710,4.0
Reguengos de Monsaraz,1870711,14.0
Vendas Novas,1870712,20.0
Viana do Alentejo,1870713,10.0
Vila Viçosa,1870714,59.0
Algarve,15,2115.0
Algarve,150,2115.0
Albufeira,1500801,131.0
Alcoutim,1500802,130.0
Aljezur,1500803,47.0
Castro Marim,1500804,9.0
Faro,1500805,546.0
Lagoa,1500806,29.0
Lagos,1500807,225.0
Loulé,1500808,422.0
Monchique,1500809,11.0
Olhão,1500810,142.0
Portimão,1500811,142.0
São Brás de Alportel,1500812,2.0
Silves,1500813,57.0
Tavira,1500814,143.0
Vila do Bispo,1500815,40.0
Vila Real de Santo António,1500816,39.0
Região Autónoma dos Açores,2,860.0
Região Autónoma dos Açores,20,860.0
Região Autónoma dos Açores,200,860.0
Angra do Heroísmo,2004301,260.0
Calheta,2004501,28.0
Corvo,2004901,0.0
Horta,2004701,29.0
Lagoa,2004201,180.0
Lajes das Flores,2004801,4.0
Lajes do Pico,2004601,0.0
Madalena,2004602,0.0
Nordeste,2004202,32.0
Ponta Delgada,2004203,152.0
Povoação,2004204,0.0
Ribeira Grande,2004205,39.0
Santa Cruz da Graciosa,2004401,45.0
Santa Cruz das Flores,2004802,1.0
São Roque do Pico,2004603,1.0
Velas,2004502,2.0
Vila da Praia da Vitória,2004302,33.0
Vila do Porto,2004101,41.0
Vila Franca do Campo,2004206,13.0
Região Autónoma da Madeira,3,1208.0
Região Autónoma da Madeira,30,1208.0
Região Autónoma da Madeira,300,1208.0
Calheta,3003101,38.0
Câmara de Lobos,3003102,50.0
Funchal,3003103,738.0
Machico,3003104,79.0
Ponta do Sol,3003105,122.0
Porto Moniz,3003106,3.0
Porto Santo,3003201,11.0
Ribeira Brava,3003107,33.0
Santa Cruz,3003108,118.0
Santana,3003109,13.0
São Vicente,3003110,3.0
