local,codigo,Dissolução de pessoas coletivas e entidades equiparadas
Montemor-o-Velho,1920610,0
Mortágua,1921808,1
Oliveira do Hospital,1920611,3
Pampilhosa da Serra,1920612,0
Penacova,1920613,3
Penela,1920614,1
Soure,1920615,0
Tábua,1920616,3
Vila Nova de Poiares,1920617,1
Região de Leiria,193,15
Alvaiázere,1931002,0
Ansião,1931003,1
Batalha,1931004,2
Castanheira de Pêra,1931007,0
Figueiró dos Vinhos,1931008,0
Leiria,1931009,6
Marinha Grande,1931010,2
Pedrógão Grande,1931013,0
Pombal,1931015,3
Porto de Mós,1931016,1
Viseu Dão Lafões,194,25
Aguiar da Beira,1940901,1
Carregal do Sal,1941802,1
Castro Daire,1941803,0
Mangualde,1941806,2
Nelas,1941809,2
Oliveira de Frades,1941810,1
Penalva do Castelo,1941811,0
Santa Comba Dão,1941814,0
São Pedro do Sul,1941816,1
Sátão,1941817,0
Tondela,1941821,1
Vila Nova de Paiva,1941822,1
Viseu,1941823,14
Vouzela,1941824,1
Beira Baixa,195,8
Castelo Branco,1950502,5
Idanha-a-Nova,1950505,1
Oleiros,1950506,0
Penamacor,1950507,0
Proença-a-Nova,1950508,0
Sertã,1950509,2
Vila de Rei,1950510,0
Vila Velha de Ródão,1950511,0
Beiras e Serra da Estrela,196,12
Almeida,1960902,0
Belmonte,1960501,0
Celorico da Beira,1960903,0
Covilhã,1960503,3
Figueira de Castelo Rodrigo,1960904,0
Fornos de Algodres,1960905,0
Fundão,1960504,1
Gouveia,1960906,1
Guarda,1960907,3
Manteigas,1960908,0
Mêda,1960909,0
Pinhel,1960910,1
Sabugal,1960911,2
Seia,1960912,1
Trancoso,1960913,0
Oeste e Vale do Tejo,1D,59
Oeste,1D1,30
Alcobaça,1D11001,5
Alenquer,1D11101,4
Arruda dos Vinhos,1D11102,1
Bombarral,1D11005,1
Cadaval,1D11104,0
Caldas da Rainha,1D11006,5
Lourinhã,1D11108,1
Nazaré,1D11011,2
Óbidos,1D11012,2
Peniche,1D11014,2
Sobral de Monte Agraço,1D11112,1
Torres Vedras,1D11113,6
Médio Tejo,1D2,11
Abrantes,1D21401,1
Alcanena,1D21402,1
Constância,1D21408,0
Entroncamento,1D21410,0
Ferreira do Zêzere,1D21411,1
Mação,1D21413,1
Ourém,1D21421,3
Sardoal,1D21417,0
Tomar,1D21418,3
Torres Novas,1D21419,1
Vila Nova da Barquinha,1D21420,0
Lezíria do Tejo,1D3,18
Almeirim,1D31403,2
Alpiarça,1D31404,0
Azambuja,1D31103,0
Benavente,1D31405,2
Cartaxo,1D31406,4
Chamusca,1D31407,1
Coruche,1D31409,0
Golegã,1D31412,0
Rio Maior,1D31414,1
Salvaterra de Magos,1D31415,1
Santarém,1D31416,7
Grande Lisboa,1A,329
Grande Lisboa,1A0,329
Amadora,1A01115,15
Cascais,1A01105,34
Lisboa,1A01106,170
Loures,1A01107,19
Mafra,1A01109,7
Odivelas,1A01116,16
Oeiras,1A01110,23
Sintra,1A01111,33
Vila Franca de Xira,1A01114,12
Península de Setúbal,1B,81
Península de Setúbal,1B0,81
Alcochete,1B01502,2
Almada,1B01503,20
Barreiro,1B01504,9
Moita,1B01506,3
Montijo,1B01507,4
Palmela,1B01508,6
Seixal,1B01510,19
Sesimbra,1B01511,8
Setúbal,1B01512,10
Alentejo,1C,32
Alentejo Litoral,1C1,5
Alcácer do Sal,1C11501,0
Grândola,1C11505,0
Odemira,1C10211,3
Santiago do Cacém,1C11509,2
Sines,1C11513,0
Baixo Alentejo,1C2,11
Aljustrel,1C20201,0
Almodôvar,1C20202,0
Alvito,1C20203,0
Barrancos,1C20204,0
Beja,1C20205,4
Castro Verde,1C20206,0
Cuba,1C20207,1
Ferreira do Alentejo,1C20208,0
Mértola,1C20209,4
Moura,1C20210,2
Ourique,1C20212,0
Serpa,1C20213,0
Vidigueira,1C20214,0
Alto Alentejo,1C3,8
Alter do Chão,1C31201,0
Arronches,1C31202,0
Avis,1C31203,0
Campo Maior,1C31204,1
Castelo de Vide,1C31205,0
Crato,1C31206,1
Elvas,1C31207,3
Fronteira,1C31208,0
Gavião,1C31209,0
Marvão,1C31210,0
Monforte,1C31211,0
Nisa,1C31212,1
Ponte de Sor,1C31213,0
Portalegre,1C31214,1
Sousel,1C31215,1
Alentejo Central,1C4,8
Alandroal,1C40701,0
Arraiolos,1C40702,1
Borba,1C40703,0
Estremoz,1C40704,1
Évora,1C40705,2
Montemor-o-Novo,1C40706,2
Mora,1C40707,0
Mourão,1C40708,0
Portel,1C40709,0
Redondo,1C40710,0
Reguengos de Monsaraz,1C40711,0
Vendas Novas,1C40712,2
Viana do Alentejo,1C40713,0
Vila Viçosa,1C40714,0
Algarve,15,67
Algarve,150,67
Albufeira,1500801,6
Alcoutim,1500802,0
Aljezur,1500803,2
Castro Marim,1500804,1
Faro,1500805,9
Lagoa,1500806,2
Lagos,1500807,3
Loulé,1500808,13
Monchique,1500809,0
Olhão,1500810,6
Portimão,1500811,6
São Brás de Alportel,1500812,3
Silves,1500813,6
Tavira,1500814,8
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,2
Região Autónoma dos Açores,2,7
Região Autónoma dos Açores,20,7
Região Autónoma dos Açores,200,7
Angra do Heroísmo,2004301,0
Calheta (R.A.A.),2004501,0
Corvo,2004901,0
Horta,2004701,0
Lagoa (R.A.A.),2004201,1
Lajes das Flores,2004801,0
Lajes do Pico,2004601,0
Madalena,2004602,1
Nordeste,2004202,0
Ponta Delgada,2004203,3
Povoação,2004204,0
Ribeira Grande,2004205,1
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,0
São Roque do Pico,2004603,0
Velas,2004502,0
Vila da Praia da Vitória,2004302,0
Vila do Porto,2004101,1
Vila Franca do Campo,2004206,0
Região Autónoma da Madeira,3,22
Região Autónoma da Madeira,30,22
Região Autónoma da Madeira,300,22
Calheta (R.A.M.),3003101,1
Câmara de Lobos,3003102,1
Funchal,3003103,11
Machico,3003104,0
Ponta do Sol,3003105,2
Porto Moniz,3003106,0
Ribeira Brava,3003107,2
Santa Cruz,3003108,3
Santana,3003109,0
São Vicente,3003110,1
Porto Santo,3003201,1
