local,codigo,Constituição de pessoas coletivas e entidades equiparadas
Peso da Régua,11D1708,5
Sabrosa,11D1710,1
Santa Marta de Penaguião,11D1711,0
São João da Pesqueira,11D1815,2
Sernancelhe,11D1818,3
Tabuaço,11D1819,0
Tarouca,11D1820,2
Torre de Moncorvo,11D0409,2
Vila Nova de Foz Côa,11D0914,0
Vila Real,11D1714,16
Terras de Trás-os-Montes,11E,35
Alfândega da Fé,11E0401,0
Bragança,11E0402,11
Macedo de Cavaleiros,11E0405,5
Miranda do Douro,11E0406,1
Mirandela,11E0407,10
Mogadouro,11E0408,5
Vila Flor,11E0410,1
Vimioso,11E0411,2
Vinhais,11E0412,0
Centro,19,592
Região de Aveiro,191,145
Águeda,1910101,33
Albergaria-a-Velha,1910102,6
Anadia,1910103,5
Aveiro,1910105,41
Estarreja,1910108,2
Ílhavo,1910110,12
Murtosa,1910112,4
Oliveira do Bairro,1910114,7
Ovar,1910115,22
Sever do Vouga,1910117,2
Vagos,1910118,11
Região de Coimbra,192,157
Arganil,1920601,7
Cantanhede,1920602,8
Coimbra,1920603,64
Condeixa-a-Nova,1920604,4
Figueira da Foz,1920605,25
Góis,1920606,2
Lousã,1920607,4
Mealhada,1920111,7
Mira,1920608,7
Miranda do Corvo,1920609,2
Montemor-o-Velho,1920610,4
Mortágua,1921808,2
Oliveira do Hospital,1920611,9
Pampilhosa da Serra,1920612,1
Penacova,1920613,3
Penela,1920614,2
Soure,1920615,1
Tábua,1920616,2
Vila Nova de Poiares,1920617,3
Região de Leiria,193,119
Alvaiázere,1931002,3
Ansião,1931003,7
Batalha,1931004,6
Castanheira de Pêra,1931007,1
Figueiró dos Vinhos,1931008,0
Leiria,1931009,58
Marinha Grande,1931010,18
Pedrógão Grande,1931013,1
Pombal,1931015,16
Porto de Mós,1931016,9
Viseu Dão Lafões,194,86
Aguiar da Beira,1940901,1
Carregal do Sal,1941802,1
Castro Daire,1941803,2
Mangualde,1941806,6
Nelas,1941809,3
Oliveira de Frades,1941810,2
Penalva do Castelo,1941811,1
Santa Comba Dão,1941814,2
São Pedro do Sul,1941816,7
Sátão,1941817,4
Tondela,1941821,4
Vila Nova de Paiva,1941822,2
Viseu,1941823,44
Vouzela,1941824,7
Beira Baixa,195,27
Castelo Branco,1950502,15
Idanha-a-Nova,1950505,0
Oleiros,1950506,2
Penamacor,1950507,1
Proença-a-Nova,1950508,2
Sertã,1950509,3
Vila de Rei,1950510,4
Vila Velha de Ródão,1950511,0
Beiras e Serra da Estrela,196,58
Almeida,1960902,0
Belmonte,1960501,2
Celorico da Beira,1960903,1
Covilhã,1960503,16
Figueira de Castelo Rodrigo,1960904,2
Fornos de Algodres,1960905,0
Fundão,1960504,8
Gouveia,1960906,6
Guarda,1960907,12
Manteigas,1960908,0
Mêda,1960909,1
Pinhel,1960910,4
Sabugal,1960911,0
Seia,1960912,3
Trancoso,1960913,3
Oeste e Vale do Tejo,1D,327
Oeste,1D1,150
Alcobaça,1D11001,25
Alenquer,1D11101,10
Arruda dos Vinhos,1D11102,9
Bombarral,1D11005,4
Cadaval,1D11104,4
Caldas da Rainha,1D11006,24
Lourinhã,1D11108,19
Nazaré,1D11011,3
Óbidos,1D11012,3
Peniche,1D11014,10
Sobral de Monte Agraço,1D11112,1
Torres Vedras,1D11113,38
Médio Tejo,1D2,86
Abrantes,1D21401,9
Alcanena,1D21402,2
Constância,1D21408,3
Entroncamento,1D21410,10
Ferreira do Zêzere,1D21411,4
Mação,1D21413,2
Ourém,1D21421,20
Sardoal,1D21417,2
Tomar,1D21418,16
Torres Novas,1D21419,11
Vila Nova da Barquinha,1D21420,7
Lezíria do Tejo,1D3,91
Almeirim,1D31403,10
Alpiarça,1D31404,2
Azambuja,1D31103,5
Benavente,1D31405,20
Cartaxo,1D31406,10
Chamusca,1D31407,3
Coruche,1D31409,9
Golegã,1D31412,2
Rio Maior,1D31414,8
Salvaterra de Magos,1D31415,2
Santarém,1D31416,20
Grande Lisboa,1A,1359
Grande Lisboa,1A0,1359
Amadora,1A01115,95
Cascais,1A01105,146
Lisboa,1A01106,612
Loures,1A01107,74
Mafra,1A01109,46
Odivelas,1A01116,73
Oeiras,1A01110,91
Sintra,1A01111,174
Vila Franca de Xira,1A01114,48
Península de Setúbal,1B,328
Península de Setúbal,1B0,328
Alcochete,1B01502,11
Almada,1B01503,71
Barreiro,1B01504,18
Moita,1B01506,17
Montijo,1B01507,32
Palmela,1B01508,28
Seixal,1B01510,76
Sesimbra,1B01511,13
Setúbal,1B01512,62
Alentejo,1C,193
Alentejo Litoral,1C1,39
Alcácer do Sal,1C11501,5
Grândola,1C11505,11
Odemira,1C10211,15
Santiago do Cacém,1C11509,4
Sines,1C11513,4
Baixo Alentejo,1C2,50
Aljustrel,1C20201,0
Almodôvar,1C20202,3
Alvito,1C20203,1
Barrancos,1C20204,0
Beja,1C20205,23
Castro Verde,1C20206,1
Cuba,1C20207,1
Ferreira do Alentejo,1C20208,2
Mértola,1C20209,4
Moura,1C20210,4
Ourique,1C20212,2
Serpa,1C20213,7
Vidigueira,1C20214,2
Alto Alentejo,1C3,38
Alter do Chão,1C31201,1
Arronches,1C31202,1
Avis,1C31203,3
Campo Maior,1C31204,3
Castelo de Vide,1C31205,2
Crato,1C31206,0
Elvas,1C31207,11
Fronteira,1C31208,1
Gavião,1C31209,0
Marvão,1C31210,0
Monforte,1C31211,2
Nisa,1C31212,2
Ponte de Sor,1C31213,5
Portalegre,1C31214,6
Sousel,1C31215,1
Alentejo Central,1C4,66
Alandroal,1C40701,0
Arraiolos,1C40702,5
Borba,1C40703,1
Estremoz,1C40704,5
Évora,1C40705,36
Montemor-o-Novo,1C40706,5
Mora,1C40707,1
Mourão,1C40708,0
Portel,1C40709,1
Redondo,1C40710,3
Reguengos de Monsaraz,1C40711,3
Vendas Novas,1C40712,3
Viana do Alentejo,1C40713,2
Vila Viçosa,1C40714,1
Algarve,15,285
Algarve,150,285
Albufeira,1500801,45
Alcoutim,1500802,0
Aljezur,1500803,4
Castro Marim,1500804,2
Faro,1500805,48
Lagoa,1500806,12
Lagos,1500807,18
Loulé,1500808,60
Monchique,1500809,1
Olhão,1500810,18
Portimão,1500811,30
São Brás de Alportel,1500812,3
Silves,1500813,16
Tavira,1500814,18
Vila do Bispo,1500815,1
Vila Real de Santo António,1500816,9
Região Autónoma dos Açores,2,69
Região Autónoma dos Açores,20,69
Região Autónoma dos Açores,200,69
Angra do Heroísmo,2004301,5
Calheta (R.A.A.),2004501,0
Corvo,2004901,0
Horta,2004701,5
Lagoa (R.A.A.),2004201,3
Lajes das Flores,2004801,1
Lajes do Pico,2004601,2
Madalena,2004602,2
Nordeste,2004202,0
Ponta Delgada,2004203,32
Povoação,2004204,0
Ribeira Grande,2004205,7
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,1
São Roque do Pico,2004603,3
Velas,2004502,2
Vila da Praia da Vitória,2004302,3
Vila do Porto,2004101,1
Vila Franca do Campo,2004206,2
Região Autónoma da Madeira,3,134
Região Autónoma da Madeira,30,134
Região Autónoma da Madeira,300,134
Calheta (R.A.M.),3003101,4
Câmara de Lobos,3003102,9
Funchal,3003103,88
Machico,3003104,5
Ponta do Sol,3003105,3
Porto Moniz,3003106,1
Ribeira Brava,3003107,3
Santa Cruz,3003108,18
Santana,3003109,0
São Vicente,3003110,3
Porto Santo,3003201,0
